tytul,cena,cena_za_metr,powierzchnia_dom,powierzchnia_dzialka,pietra,rynek,ilosc_sypialni,rok_budowy,typ,warunki,okna
"Willa miejska Poznań, ul. Radłowa OKAZJA",710000.0,3736.84,190.0,500.0,1 piętro,pierwotny,5, 2018 , wolnostojący, do wykończenia, plastikowe
Dom z ogrodem w cenie mieszkania 10 min od centrum,315000.0,3150.0,100.0,300.0,1 piętro,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe
"Super funkcjonalny dom z OGRODEM, Wszędzie BLISKO",415000.0,5690.39,72.93,243.88,1 piętro,pierwotny,4, 2016 , szeregowiec, do wykończenia, plastikowe
"Śliczne mieszkanie z Ogródkiem, os Zamkniete, MDM!",430000.0,5896.06,72.93,280.52,1 piętro,pierwotny,4, 2016 , szeregowiec, do wykończenia, plastikowe
Wyjątkowy dom w wyjątkowym miejscu,2400000.0,7058.82,340.0,1618.0,1 piętro,wtórny,7, 2007 , dworek/pałac, do zamieszkania, drewniane
"Sprzedam dom bliźniaczy , 150m², Poznań",599000.0,3993.33,150.0,488.0,1 piętro,pierwotny,4, 2017 , bliźniak, do zamieszkania, plastikowe
Dom z ogrodem w cenie mieszkania 10 min od centrum,315000.0,3150.0,100.0,300.0,1 piętro,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe
Kamienica przy Starym Rynku na sprzedaż,3500000.0,6493.51,539.0,98.0,3 piętra i więcej,wtórny,4, 2018 , kamienica, do wykończenia, plastikowe
Duży Szeregowiec Winogrady,699000.0,2751.97,254.0,210.0,2 piętra,wtórny,7, 2003 , szeregowiec, do zamieszkania, plastikowe
OKAZJA!!!! Bliżniak Luboń,359000.0,2111.76,170.0,250.0,1 piętro,wtórny,4, 1970 , bliźniak, do remontu, plastikowe
Wolnostojący Nowy Luboń,519000.0,3629.37,143.0,350.0,1 piętro,wtórny,4, 2003 , wolnostojący, do zamieszkania, plastikowe
"Śliczne mieszkanie z Ogródkiem, os Zamkniete, MDM!",430000.0,5896.06,72.93,280.52,1 piętro,pierwotny,4, 2016 , szeregowiec, do wykończenia, plastikowe
"Szeregowiec, 230 m2, Poznań - Strzeszyn",680000.0,2956.52,230.0,169.0,2 piętra,wtórny,5, 1996 , szeregowiec, do zamieszkania, plastikowe
Dom 220 m2 na os. Bajkowym z ogródkiem i garażem,499000.0,2268.18,220.0,327.0,n/a,wtórny,4, 1973 , bliźniak, do remontu, plastikowe
"Dom Poznań Junikowo, ul. Przepiórcza",699000.0,4755.1,147.0,573.0,1 piętro,wtórny,4, 2018 , bliźniak, do wykończenia, plastikowe
"Dom Poznań Junikowo, ul. Przepiórcza",699000.0,4957.45,141.0,573.0,1 piętro,wtórny,4, 2018 , bliźniak, do wykończenia, plastikowe
Osiedle zamknięte Poznań- Szczepankowo (promocja),480000.0,3455.47,138.91,224.0,2 piętra,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe
